CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Marketing e Investigación de Mercados,No,"10,72"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Economía y de la Empresa. Campus de Madrid,Grado en Dirección y Gestión de Empresas en el Ámbito Digital,No,"10,71"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Medicina,Grado en Enfermería,No,"10,71"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Biología,Grado en Biología,No,"10,71"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Ciencias de la Educación,Grado en Maestro de Educación Primaria,No,"10,71"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Ciencias Políticas y de la Administración,No,"10,71"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Farmacia,Grado en Farmacia,No,"10,71"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Facultad de Humanidades y Documentación,Grado en Relaciones Internacionales,Sí,"10,7"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Medicina,Grado en Fisioterapia,No,"10,7"
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Enfermería y Fisioterapia,Doble Grado en Enfermería / Grado en Fisioterapia,No,"10,7"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Relaciones Laborales y Recursos Humanos,No,"10,69"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Escuela de Enfermería de La Fundación Jiménez Díaz,Grado en Enfermería,No,"10,68"
Castilla y León,León,Pública,Universidad de León,Presencial,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",Grado en Ingeniería de Datos e Inteligencia Artificial,No,"10,68"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias,Grado en Ciencias del Mar,No,"10,68"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Aeroespacial y Diseño Industrial,Grado en Ingeniería Electrónica Industrial y Automática,No,"10,67"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Administración y Dirección de Empresas,No,"10,67"
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Economía y Empresa,Grado en Economía,No,"10,66"
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Facultad de Fisioterapia,Grado en Fisioterapia,No,"10,66"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Ingeniería Informática / Grado en Administración y Dirección de Empresas,No,"10,66"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,Grado en Ingeniería Informática,No,"10,66"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Economía y de la Empresa. Campus de Fuenlabrada,Grado en Marketing,No,"10,65"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Finanzas y Contabilidad,No,"10,65"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Arquitectura,Grado en Fundamentos de la Arquitectura,Sí,"10,65"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,"Facultad de Filología, Traducción y Comunicación",Grado en Estudios Hispánicos. Lengua Española y sus Literaturas,No,"10,64"
Comunitat Valenciana,Castellón,Pública,Universidad Jaume I de Castellón,Presencial,Escuela Superior de Tecnología y Ciencias Experimentales,Grado en Química,No,"10,64"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,"Facultad de Humanidades, Comunicación y Documentación",Grado en Gestión de la Información y Contenidos Digitales,No,"10,64"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Grado en Ingeniería Química,No,"10,64"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Administración y dirección de empresas,No,"10,63"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela de Ingenierías Industriales,Doble Grado en Ingeniería Eléctrica / Grado en Ingeniería Mecánica,No,"10,63"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Facultad de Informática,Grado en Bioinformática / Bachelor in Bioinformatics,Sí,"10,63"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Facultad de Bellas Artes San Carlos,Grado en Bellas Artes,No,"10,62"
Aragón,Huesca,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias de la Salud y del Deporte,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,61"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Escuela Politécnica Superior,Grado en Ingeniería en Tecnologías Industriales,No,"10,61"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Salud. Campus de Alcorcón,Grado en Psicología,No,"10,61"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Química,No,"10,61"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Bellas Artes,Grado en Diseño,No,"10,61"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Fisioterapia,No,"10,61"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencia y Tecnología,Grado en Química,No,"10,61"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Psicología,Doble Grado en Psicología / Grado en Logopedia,No,"10,6"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Escuela de Ingenierías Industriales,Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,No,"10,6"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Economía,Doble Grado en Turismo / Grado en Administración y Dirección de Empresas,No,"10,6"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,Facultad de Ciencias de la Salud,Grado en Fisioterapia,No,"10,6"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,Facultad de Ciencias de la Salud,Grado en Psicología,No,"10,6"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela de Ingeniería de Telecomunicación y Aeroespacial de Castelldefels,Grado en Ingeniería de Satélites,No,"10,59"
Aragón,Huesca,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias de la Salud y del Deporte,Doble Grado en Nutrición Humana y Dietética / Grado en Ciencias de la Actividad Física y del Deporte,No,"10,59"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior. Sección Colmenarejo,Grado en Ingeniería Informática / Bachelor in Computer Science and Engineering,No,"10,59"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Farmacia y Ciencias de la Alimentación,Grado en Nutrición Humana y Dietética,No,"10,58"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Facultad de Ciencias,Doble Grado en Biología / Grado en Química,No,"10,58"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,Doble Grado en Ingeniería Informática / Grado en Ingeniería de Computadores,No,"10,58"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Escuela Técnica Superior de Ingenierías Informática y de Telecomunicación,Grado en Ingeniería Informática,No,"10,57"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Informática,Grado en Informática Industrial y Robótica,No,"10,57"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Civil,No,"10,57"
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias Experimentales,Grado en Biotecnología,No,"10,57"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Farmacia,Grado en Farmacia,No,"10,57"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Doble Grado en Ingeniería Química / Grado en Ingeniería Ambiental,No,"10,56"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Grado en Fundamentos de la Arquitectura,No,"10,55"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Grado en Criminología,No,"10,55"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingenieros Navales,Grado en Ingeniería Marítima,No,"10,55"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Ciencias,Grado en Ingeniería Química,No,"10,55"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Artes y Humanidades. Campus de Aranjuez,Grado en Diseño y Gestión de Moda,No,"10,54"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Filosofía,No,"10,54"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela Técnica Superior de Arquitectura,Grado en Fundamentos de Arquitectura,No,"10,54"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Facultad de Filosofía y Letras,Doble Grado en Humanidades / Grado en Magisterio en Educación Primaria,No,"10,54"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Grado en Ciencia e Ingeniería de Datos,No,"10,54"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Politécnica Superior,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,No,"10,54"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela Técnica Superior de Ingeniería Informática,Grado en Ingeniería Informática,No,"10,54"
País Vasco,Guipúzcoa,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Derecho,Grado en Criminología,No,"10,53"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Derecho,Grado en Criminología,No,"10,53"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Informática,Grado en Ingeniería Informática,Sí,"10,53"
Castilla-La Mancha,Albacete,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Educación de Albacete,Doble Grado en Maestro en Educación Primaria / Grado en Maestro en Educación Infantil,Sí,"10,53"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Escuela de Ingeniería y Arquitectura,Grado en Ingeniería Informática,No,"10,53"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias,Grado en Ingeniería Electrónica Industrial,No,"10,52"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Ciencias de la Comunicación,Doble Grado en Turismo / Grado en Publicidad y Relaciones,No,"10,52"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Educación,Grado en Maestro en Educación Primaria,No,"10,51"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Marketing,No,"10,51"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Economía y Empresa,Grado en Estadística,No,"10,5"
País Vasco,Álava,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Farmacia,Doble Grado en Farmacia / Grado en Nutrición Humana y Dietética,No,"10,5"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Derecho,Grado en Criminología,No,"10,5"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Grado en Ingeniería de la Energía,No,"10,5"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Escuela de Ingeniería Informática,Grado en Ingeniería Informática del Software,Sí,"10,5"
Extremadura,Cáceres,Pública,Universidad de Extremadura,Presencial,Facultad de Veterinaria,Grado en Bioquímica,No,"10,5"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Aeroespacial y Diseño Industrial,Grado en Ingeniería Eléctrica,No,"10,5"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Derecho,Grado en Criminología,No,"10,49"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias de la Información,Grado en Comunicación Audiovisual,No,"10,49"
Región de Murcia,Murcia,Pública,Universidad Politécnica de Cartagena,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,No,"10,49"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Filosofía y Letras,Doble Grado en Lingüística Aplicada / Grado en Estudios Ingleses,No,"10,48"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Agronómica y del Medio Natural,Doble Grado en Ingeniería Forestal y del Medio Natural / Grado en Ciencias Ambientales,No,"10,47"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Economía y Empresa,Grado en Marketing,No,"10,46"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Medicina,Grado en Nutrición Humana y Dietética,No,"10,46"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Economía y de la Empresa. Campus de Móstoles,Grado en Marketing,No,"10,45"
Cataluña,Girona,Pública,Universidad de Girona,Presencial,Facultad de Ciencias,Grado en Biotecnología,No,"10,45"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Educación de Bilbao,Grado en Educación Primaria,No,"10,45"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias de la Educación,Grado en Educación Primaria,No,"10,44"
Castilla-La Mancha,Toledo,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Ciencias Ambientales y Bioquímica de Toledo,Grado en Bioquímica,No,"10,44"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,"Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos",Grado en Gestión del Transporte y la Logística,No,"10,44"
Castilla-La Mancha,Toledo,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Ciencias Ambientales y Bioquímica de Toledo,Grado en Física,No,"10,44"
